Year,TimeOfDay,District,Community_Area,Incident_Type,CrimeCount
2023,Afternoon,7,68,Domestic,119
2023,Night,12,31,NON-Domestic,234
2023,Evening,1,35,NON-Domestic,77
2023,Evening,9,33,NON-Domestic,2
2023,Afternoon,19,3,NON-Domestic,381
2023,Evening,4,48,NON-Domestic,128
2023,Afternoon,15,25,NON-Domestic,590
2023,Morning,7,68,Domestic,81
2023,Evening,9,61,NON-Domestic,337
2023,Morning,20,77,NON-Domestic,161
2023,Evening,2,39,NON-Domestic,142
2023,Evening,17,16,NON-Domestic,234
2023,Morning,24,1,NON-Domestic,345
2023,Evening,16,9,Domestic,6
2023,Afternoon,3,69,Domestic,59
2023,Morning,15,25,Domestic,179
2023,Evening,11,26,NON-Domestic,258
2023,Night,4,51,Domestic,34
2023,Morning,25,23,NON-Domestic,112
2023,Morning,12,28,NON-Domestic,517
2023,Evening,20,4,NON-Domestic,142
2023,Evening,1,33,NON-Domestic,264
2023,Evening,15,25,NON-Domestic,579
2023,Afternoon,2,40,NON-Domestic,128
2023,Morning,4,43,NON-Domestic,164
2023,Morning,11,27,NON-Domestic,206
2023,Night,8,66,Domestic,102
2023,Evening,5,49,Domestic,126
2023,Evening,20,77,NON-Domestic,170
2023,Night,25,20,NON-Domestic,106
2023,Evening,8,70,NON-Domestic,200
2023,Night,25,20,Domestic,27
2023,Evening,15,25,Domestic,219
2023,Morning,8,57,NON-Domestic,75
2023,Evening,2,38,NON-Domestic,259
2023,Afternoon,20,3,NON-Domestic,153
2023,Afternoon,6,44,NON-Domestic,563
2023,Evening,22,75,NON-Domestic,127
2023,Night,6,71,NON-Domestic,314
2023,Night,6,44,NON-Domestic,358
2023,Afternoon,3,69,NON-Domestic,277
2023,Night,20,4,NON-Domestic,71
2023,Evening,4,43,Domestic,88
2023,Night,16,15,NON-Domestic,222
2023,Afternoon,7,68,NON-Domestic,406
2023,Morning,3,42,NON-Domestic,195
2023,Evening,19,3,NON-Domestic,253
2023,Evening,4,55,NON-Domestic,52
2023,Night,15,25,Domestic,174
2023,Morning,11,29,NON-Domestic,78
2023,Evening,19,4,NON-Domestic,76
2023,Night,10,29,Domestic,110
2023,Morning,19,3,NON-Domestic,190
2023,Evening,7,67,Domestic,116
2023,Night,5,53,NON-Domestic,167
2023,Afternoon,1,28,NON-Domestic,269
2021,Night,4,45,NON-Domestic,2
2023,Evening,14,22,NON-Domestic,456
2023,Morning,2,35,NON-Domestic,149
2023,Morning,12,31,NON-Domestic,157
2023,Evening,24,2,Domestic,63
2023,Evening,17,15,NON-Domestic,43
2023,Afternoon,11,29,Domestic,20
2023,Night,16,76,NON-Domestic,91
2023,Afternoon,4,51,NON-Domestic,153
2023,Afternoon,24,1,Domestic,53
2023,Morning,2,39,NON-Domestic,118
2023,Afternoon,5,49,NON-Domestic,321
2023,Afternoon,17,21,NON-Domestic,104
2023,Afternoon,18,8,NON-Domestic,1340
2023,Afternoon,16,11,NON-Domestic,105
