Year,TimeOfDay,District,Community_Area,Incident_Type,CrimeCount
2024,Evening,3,69,NON-Domestic,283
2024,Night,16,17,Domestic,32
2024,Afternoon,9,60,NON-Domestic,153
2024,Night,4,46,Domestic,98
2024,Afternoon,5,51,NON-Domestic,21
2010,Afternoon,4,46,Domestic,1
2016,Morning,3,43,NON-Domestic,3
2020,Morning,5,49,NON-Domestic,6
2022,Morning,12,28,Domestic,1
2018,Night,8,63,NON-Domestic,2
2003,Afternoon,6,71,NON-Domestic,6
2003,Night,6,44,Domestic,2
2003,Night,4,46,Domestic,1
2003,Evening,6,44,Domestic,1
2003,Morning,4,46,NON-Domestic,2
2003,Afternoon,6,69,NON-Domestic,2
2003,Evening,5,49,NON-Domestic,9
2008,Morning,8,66,NON-Domestic,3
2024,Night,25,20,Domestic,24
2024,Morning,10,29,Domestic,165
2006,Night,1,32,Domestic,1
2001,Afternoon,24,1,NON-Domestic,425
2014,Night,8,63,Domestic,1
2017,Night,12,28,Domestic,2
2011,Evening,24,77,Domestic,1
2013,Morning,4,52,Domestic,1
2024,Afternoon,4,51,Domestic,39
2023,Night,9,30,NON-Domestic,1
2018,Afternoon,11,27,NON-Domestic,6
2018,Afternoon,1,35,NON-Domestic,1
2024,Morning,3,42,NON-Domestic,218
2024,Evening,9,61,Domestic,122
2024,Night,8,65,NON-Domestic,105
2016,Morning,17,14,NON-Domestic,1
2016,Night,12,31,Domestic,2
2011,Night,16,10,Domestic,1
2020,Evening,3,69,NON-Domestic,4
2024,Evening,16,11,NON-Domestic,96
2024,Afternoon,17,16,Domestic,56
2024,Night,16,9,NON-Domestic,25
2008,Afternoon,7,68,NON-Domestic,6
2018,Morning,6,69,NON-Domestic,3
2017,Afternoon,4,52,Domestic,1
2024,Evening,25,25,Domestic,75
2024,Night,25,22,NON-Domestic,46
2024,Evening,14,22,Domestic,45
2024,Night,22,73,NON-Domestic,190
2024,Afternoon,8,57,Domestic,17
2024,Morning,1,28,NON-Domestic,159
2024,Afternoon,6,71,Domestic,200
2018,Night,3,42,NON-Domestic,5
2024,Night,22,72,Domestic,10
2024,Evening,19,4,NON-Domestic,68
2024,Afternoon,4,55,Domestic,29
2024,Morning,22,71,Domestic,10
2012,Night,7,67,Domestic,1
2018,Afternoon,4,46,NON-Domestic,5
2024,Morning,2,41,NON-Domestic,154
2024,Night,8,56,Domestic,21
2024,Evening,11,29,NON-Domestic,77
2024,Afternoon,8,70,Domestic,52
2024,Morning,16,12,NON-Domestic,25
2024,Evening,5,51,NON-Domestic,16
2024,Evening,4,43,NON-Domestic,213
2008,Night,6,49,NON-Domestic,1
2005,Morning,14,24,Domestic,1
2024,Afternoon,20,4,NON-Domestic,157
2013,Morning,9,61,Domestic,2
2017,Night,10,29,Domestic,2
2018,Afternoon,11,29,NON-Domestic,3
2004,Night,25,19,NON-Domestic,2
2024,Evening,9,60,Domestic,43
2024,Morning,19,5,Domestic,17
2018,Afternoon,6,69,NON-Domestic,6
2018,Night,5,49,Domestic,3
2016,Evening,16,76,NON-Domestic,1
2018,Night,9,61,NON-Domestic,11
2017,Night,7,68,Domestic,1
2018,Afternoon,4,43,NON-Domestic,7
2024,Evening,4,51,NON-Domestic,152
2024,Evening,8,70,Domestic,59
2018,Night,18,8,Domestic,1
2018,Morning,11,26,Domestic,2
2018,Evening,9,58,NON-Domestic,1
2018,Afternoon,1,28,NON-Domestic,3
2008,Morning,25,21,NON-Domestic,1
2008,Night,25,21,NON-Domestic,1
2011,Evening,5,53,NON-Domestic,7
2024,Morning,7,68,NON-Domestic,272
2024,Afternoon,5,49,Domestic,113
2024,Night,9,63,NON-Domestic,64
2024,Evening,22,75,NON-Domestic,151
2006,Night,10,29,Domestic,2
2013,Night,11,29,NON-Domestic,2
2023,Afternoon,31,76,NON-Domestic,1
2010,Night,18,7,NON-Domestic,1
2018,Afternoon,10,31,NON-Domestic,1
2009,Night,2,35,NON-Domestic,3
2024,Afternoon,14,21,NON-Domestic,81
2003,Afternoon,8,63,NON-Domestic,1
2015,Night,11,23,NON-Domestic,10
2018,Morning,9,60,NON-Domestic,1
2018,Evening,9,60,NON-Domestic,2
2020,Evening,14,22,NON-Domestic,4
2012,Night,25,18,Domestic,1
2014,Night,8,66,NON-Domestic,3
2024,Evening,22,73,NON-Domestic,251
2024,Evening,24,2,Domestic,57
2024,Evening,2,41,NON-Domestic,202
2017,Night,25,19,NON-Domestic,2
2008,Morning,5,50,NON-Domestic,2
2019,Afternoon,4,45,NON-Domestic,3
2023,Morning,17,15,Domestic,1
2015,Night,14,24,Domestic,1
2012,Night,25,22,Domestic,1
2017,Night,10,30,Domestic,2
2015,Night,6,69,Domestic,1
2017,Afternoon,19,3,NON-Domestic,2
2020,Night,14,24,NON-Domestic,7
2011,Morning,6,44,NON-Domestic,1
2022,Morning,2,40,NON-Domestic,2
2021,Morning,19,3,NON-Domestic,2
2024,Evening,5,53,Domestic,100
2024,Afternoon,5,50,Domestic,28
2013,Afternoon,6,44,Domestic,3
2018,Afternoon,25,23,Domestic,1
2018,Night,15,25,Domestic,3
2015,Night,12,27,NON-Domestic,1
2016,Evening,3,43,NON-Domestic,8
2020,Morning,8,56,NON-Domestic,3
2013,Night,2,36,Domestic,1
2016,Night,7,68,Domestic,3
2020,Night,10,31,NON-Domestic,3
2003,Night,6,69,Domestic,1
2003,Evening,6,71,Domestic,3
2003,Morning,4,55,NON-Domestic,1
2003,Afternoon,4,46,NON-Domestic,3
2003,Afternoon,6,69,Domestic,1
2005,Afternoon,5,49,NON-Domestic,5
2006,Morning,5,53,NON-Domestic,3
2024,Afternoon,11,26,Domestic,92
2024,Night,22,71,Domestic,21
2024,Night,4,43,NON-Domestic,145
2024,Morning,22,49,NON-Domestic,33
2024,Morning,3,42,Domestic,85
2024,Night,16,15,NON-Domestic,183
2024,Evening,4,51,Domestic,47
2024,Morning,25,23,NON-Domestic,133
2024,Night,8,63,Domestic,23
2018,Afternoon,14,22,Domestic,1
2021,Night,11,29,NON-Domestic,5
2024,Night,18,7,NON-Domestic,120
2008,Morning,4,46,Domestic,2
2018,Night,4,47,NON-Domestic,3
2019,Night,14,21,Domestic,1
2017,Afternoon,19,4,NON-Domestic,1
2001,Afternoon,25,23,NON-Domestic,138
2018,Night,8,70,Domestic,1
2009,Afternoon,8,66,Domestic,4
2020,Night,14,21,NON-Domestic,3
2024,Morning,22,75,NON-Domestic,122
2024,Afternoon,16,10,Domestic,16
2024,Evening,14,23,NON-Domestic,84
2024,Evening,9,34,NON-Domestic,97
2024,Afternoon,25,18,NON-Domestic,79
2018,Morning,12,31,NON-Domestic,3
2024,Morning,24,2,NON-Domestic,223
2024,Morning,9,61,Domestic,65
2024,Night,25,25,Domestic,48
2024,Evening,9,59,NON-Domestic,75
2020,Evening,7,67,NON-Domestic,11
2020,Evening,6,44,NON-Domestic,13
2021,Afternoon,5,54,NON-Domestic,2
2008,Night,9,58,Domestic,2
2021,Morning,4,46,Domestic,1
2017,Night,1,28,NON-Domestic,2
2024,Night,7,68,Domestic,115
2015,Evening,12,28,Domestic,2
2024,Night,22,49,NON-Domestic,21
2024,Night,14,22,Domestic,40
2024,Night,9,58,NON-Domestic,108
2024,Night,11,25,NON-Domestic,48
2024,Afternoon,5,50,NON-Domestic,116
2024,Night,1,33,NON-Domestic,150
2018,Afternoon,9,59,NON-Domestic,3
2021,Morning,22,75,Domestic,1
2022,Afternoon,8,56,Domestic,3
2010,Afternoon,9,58,NON-Domestic,1
2024,Evening,4,55,Domestic,37
2024,Afternoon,12,27,NON-Domestic,74
2024,Afternoon,8,62,NON-Domestic,98
2024,Afternoon,9,58,NON-Domestic,192
2024,Evening,22,75,Domestic,60
2024,Afternoon,2,36,Domestic,25
2024,Morning,4,55,Domestic,13
2024,Evening,11,25,NON-Domestic,105
2024,Evening,16,10,NON-Domestic,123
2024,Night,4,52,Domestic,21
2024,Evening,20,4,Domestic,23
2024,Evening,17,21,Domestic,10
2024,Night,1,28,NON-Domestic,90
2024,Afternoon,12,23,NON-Domestic,34
2024,Afternoon,14,23,Domestic,18
2024,Night,17,15,NON-Domestic,17
2024,Morning,7,69,Domestic,33
2024,Morning,2,39,NON-Domestic,134
2024,Night,19,5,NON-Domestic,102
2024,Afternoon,12,24,Domestic,39
2024,Night,7,69,Domestic,30
2024,Morning,5,49,Domestic,104
2024,Night,9,34,NON-Domestic,50
2024,Afternoon,2,41,Domestic,30
2024,Morning,22,72,NON-Domestic,66
2024,Night,8,57,NON-Domestic,69
2024,Afternoon,25,21,Domestic,6
2024,Morning,16,76,Domestic,7
2024,Night,8,56,NON-Domestic,191
2024,Evening,19,6,Domestic,57
2024,Afternoon,11,29,NON-Domestic,88
2024,Evening,17,16,Domestic,38
2024,Night,2,39,NON-Domestic,103
2024,Night,25,19,Domestic,72
2024,Night,2,35,Domestic,21
2024,Night,14,24,Domestic,18
2024,Afternoon,11,25,NON-Domestic,74
2024,Night,9,58,Domestic,32
2020,Night,24,1,NON-Domestic,6
2024,Afternoon,7,69,NON-Domestic,118
2024,Evening,16,76,NON-Domestic,134
2024,Night,4,45,NON-Domestic,63
2024,Afternoon,11,29,Domestic,31
2024,Morning,25,21,NON-Domestic,45
2018,Night,1,35,Domestic,1
2024,Evening,9,37,NON-Domestic,43
2024,Morning,7,67,Domestic,97
2024,Morning,3,69,Domestic,82
2024,Night,20,4,Domestic,13
2024,Evening,8,66,Domestic,158
2024,Night,3,69,NON-Domestic,195
2024,Evening,4,46,Domestic,114
2024,Night,25,18,NON-Domestic,29
2024,Afternoon,3,42,Domestic,110
2024,Afternoon,16,76,Domestic,14
2024,Morning,16,10,NON-Domestic,89
2024,Evening,8,62,NON-Domestic,88
2024,Evening,3,43,Domestic,167
2024,Night,2,40,Domestic,41
2024,Evening,16,76,Domestic,10
2024,Night,11,29,NON-Domestic,67
2024,Night,19,5,Domestic,5
2024,Afternoon,7,69,Domestic,41
2024,Night,18,7,Domestic,7
2024,Night,22,73,Domestic,39
2024,Morning,14,23,NON-Domestic,41
2024,Night,12,24,Domestic,28
2024,Afternoon,25,18,Domestic,12
2019,Afternoon,12,28,NON-Domestic,5
2024,Night,20,3,NON-Domestic,85
2024,Night,16,11,Domestic,15
2024,Afternoon,5,54,Domestic,33
2024,Night,20,77,NON-Domestic,146
2024,Night,11,25,Domestic,11
2024,Morning,9,58,Domestic,36
2024,Night,6,71,Domestic,153
2024,Evening,25,23,Domestic,47
2024,Night,16,76,NON-Domestic,113
2024,Night,16,76,Domestic,9
2024,Afternoon,3,69,Domestic,100
2024,Afternoon,2,40,NON-Domestic,154
2024,Night,22,75,Domestic,38
2024,Afternoon,7,67,Domestic,135
2024,Night,8,58,NON-Domestic,31
2024,Night,11,28,Domestic,16
2024,Night,16,9,Domestic,5
2024,Night,9,61,Domestic,81
2024,Night,25,23,NON-Domestic,97
2024,Afternoon,25,21,NON-Domestic,82
2024,Morning,5,53,Domestic,87
2024,Afternoon,8,63,Domestic,33
2024,Morning,12,31,Domestic,32
2024,Morning,19,4,Domestic,4
2024,Afternoon,6,68,NON-Domestic,3
2024,Evening,2,40,Domestic,63
2024,Morning,8,65,Domestic,32
2024,Morning,12,24,Domestic,21
2024,Evening,12,28,Domestic,106
2024,Afternoon,25,23,NON-Domestic,137
2024,Morning,11,23,NON-Domestic,408
2024,Night,10,30,Domestic,89
2024,Evening,17,13,Domestic,20
2024,Night,8,63,NON-Domestic,86
2019,Morning,24,1,NON-Domestic,3
2024,Morning,9,59,NON-Domestic,66
2024,Afternoon,25,22,Domestic,19
2024,Afternoon,2,37,NON-Domestic,21
2024,Evening,2,39,Domestic,40
2024,Afternoon,5,53,Domestic,86
2024,Afternoon,6,44,Domestic,174
2024,Evening,8,57,Domestic,12
2024,Night,12,28,Domestic,90
2024,Afternoon,22,49,Domestic,18
2022,Afternoon,8,70,Domestic,2
2024,Night,9,60,Domestic,21
2019,Evening,3,42,NON-Domestic,2
2024,Night,12,23,NON-Domestic,22
2018,Morning,3,69,NON-Domestic,3
2024,Afternoon,2,39,Domestic,38
2024,Morning,14,24,NON-Domestic,232
2024,Afternoon,22,71,NON-Domestic,69
2024,Afternoon,9,63,Domestic,20
2024,Night,5,54,NON-Domestic,45
2024,Evening,8,62,Domestic,16
2024,Morning,9,63,NON-Domestic,67
2024,Morning,1,33,Domestic,24
2024,Afternoon,5,54,NON-Domestic,95
2024,Evening,17,14,NON-Domestic,248
2024,Night,9,60,NON-Domestic,104
2024,Morning,16,15,Domestic,29
2024,Night,22,71,NON-Domestic,49
2024,Afternoon,8,57,NON-Domestic,108
2014,Night,16,12,NON-Domestic,1
2015,Morning,12,28,NON-Domestic,1
2019,Morning,14,24,NON-Domestic,4
2022,Morning,8,57,Domestic,1
2011,Afternoon,25,22,Domestic,2
2020,Night,22,75,NON-Domestic,5
2024,Afternoon,17,13,NON-Domestic,127
2024,Night,5,51,NON-Domestic,3
2024,Evening,18,8,Domestic,92
2024,Evening,22,72,NON-Domestic,64
2024,Night,2,41,NON-Domestic,116
2024,Night,17,12,NON-Domestic,16
2024,Evening,9,58,Domestic,60
2024,Night,19,4,NON-Domestic,52
2024,Afternoon,4,55,NON-Domestic,96
2024,Night,19,4,Domestic,7
2024,Evening,1,35,NON-Domestic,77
2024,Night,2,35,NON-Domestic,80
2024,Morning,22,74,NON-Domestic,31
2024,Morning,1,35,NON-Domestic,71
2024,Afternoon,24,77,NON-Domestic,140
2024,Evening,20,77,Domestic,25
2007,Afternoon,12,28,NON-Domestic,2
2024,Evening,1,28,Domestic,10
2024,Afternoon,22,73,Domestic,70
2024,Afternoon,9,34,NON-Domestic,115
2024,Afternoon,19,6,Domestic,36
2024,Morning,11,23,Domestic,56
2024,Night,17,21,Domestic,17
2024,Evening,9,58,NON-Domestic,156
2024,Evening,7,69,NON-Domestic,88
2024,Morning,22,75,Domestic,42
2010,Night,8,65,NON-Domestic,1
2024,Evening,16,9,NON-Domestic,30
2024,Night,6,69,Domestic,48
2024,Afternoon,12,23,Domestic,7
2024,Night,9,63,Domestic,21
2024,Morning,11,26,Domestic,83
2024,Morning,25,18,Domestic,8
2024,Afternoon,18,8,Domestic,80
2024,Evening,9,63,Domestic,29
2024,Afternoon,19,4,NON-Domestic,61
2024,Morning,9,58,NON-Domestic,112
2024,Evening,19,3,Domestic,55
2022,Morning,2,36,Domestic,2
2024,Morning,5,50,NON-Domestic,74
2024,Evening,12,23,NON-Domestic,42
2024,Morning,5,50,Domestic,24
2022,Afternoon,17,16,Domestic,1
2024,Evening,17,14,Domestic,56
2024,Afternoon,9,59,NON-Domestic,119
2024,Afternoon,4,48,NON-Domestic,146
2024,Evening,19,5,Domestic,8
2024,Morning,2,36,NON-Domestic,51
2024,Afternoon,22,74,Domestic,18
2024,Morning,9,34,NON-Domestic,42
2024,Morning,17,13,NON-Domestic,66
2024,Afternoon,22,49,NON-Domestic,74
2024,Evening,4,52,Domestic,38
2024,Morning,14,23,Domestic,20
2024,Morning,8,64,NON-Domestic,57
2024,Morning,20,77,Domestic,24
2018,Morning,8,66,NON-Domestic,4
2024,Morning,6,71,Domestic,134
2024,Afternoon,2,36,NON-Domestic,69
2024,Morning,20,4,Domestic,10
2024,Evening,18,7,Domestic,11
2024,Night,2,39,Domestic,40
2024,Night,22,74,NON-Domestic,24
2024,Afternoon,6,69,Domestic,51
2024,Morning,11,29,NON-Domestic,83
2024,Evening,4,45,NON-Domestic,78
2024,Evening,22,73,Domestic,75
2024,Morning,14,21,Domestic,6
2018,Afternoon,9,60,NON-Domestic,1
2019,Night,9,60,NON-Domestic,1
2019,Evening,9,61,NON-Domestic,4
2019,Evening,9,37,NON-Domestic,4
2014,Afternoon,6,71,Domestic,1
2018,Night,2,40,NON-Domestic,5
2024,Morning,6,49,Domestic,20
2024,Night,3,40,Domestic,22
2018,Night,7,67,NON-Domestic,12
2024,Morning,7,69,NON-Domestic,57
2024,Afternoon,9,59,Domestic,15
2024,Night,11,29,Domestic,24
2024,Evening,25,22,NON-Domestic,81
2024,Morning,2,68,NON-Domestic,7
2024,Morning,9,37,Domestic,8
2024,Afternoon,2,40,Domestic,54
2024,Evening,6,69,Domestic,76
2024,Evening,7,67,Domestic,143
2024,Evening,2,35,Domestic,41
2024,Night,9,37,NON-Domestic,33
2024,Evening,16,12,NON-Domestic,23
2024,Morning,14,24,Domestic,23
2024,Evening,11,28,NON-Domestic,45
2024,Evening,11,27,Domestic,120
2018,Night,19,5,Domestic,1
2024,Morning,16,17,Domestic,26
2024,Evening,6,71,Domestic,185
2014,Evening,22,49,NON-Domestic,1
2024,Afternoon,24,2,Domestic,53
2024,Morning,17,15,Domestic,4
2024,Evening,14,24,Domestic,32
2024,Afternoon,9,60,Domestic,36
2024,Night,2,36,Domestic,25
2024,Morning,2,41,Domestic,13
2024,Afternoon,16,17,Domestic,31
2024,Afternoon,17,15,NON-Domestic,53
2024,Evening,25,17,Domestic,5
2024,Evening,10,30,Domestic,110
2024,Morning,4,51,NON-Domestic,116
2024,Afternoon,24,77,Domestic,17
2017,Night,25,19,Domestic,1
2021,Afternoon,5,53,NON-Domestic,10
2024,Morning,16,9,NON-Domestic,12
2024,Morning,12,27,NON-Domestic,56
2024,Morning,4,52,Domestic,28
2024,Morning,19,5,NON-Domestic,87
2024,Evening,8,64,NON-Domestic,107
2024,Evening,11,29,Domestic,34
2024,Night,17,16,Domestic,31
2024,Evening,20,2,NON-Domestic,57
2024,Morning,25,22,NON-Domestic,47
2024,Evening,22,49,NON-Domestic,52
2024,Evening,25,20,Domestic,46
2024,Evening,1,28,NON-Domestic,160
2024,Morning,8,63,NON-Domestic,99
2024,Evening,6,68,NON-Domestic,7
2024,Afternoon,8,58,NON-Domestic,31
2017,Morning,19,6,NON-Domestic,4
2024,Evening,8,63,Domestic,31
2024,Morning,4,52,NON-Domestic,52
2024,Afternoon,1,33,Domestic,32
2024,Evening,1,35,Domestic,23
2017,Night,4,46,Domestic,5
2024,Night,7,69,NON-Domestic,52
2024,Morning,25,18,NON-Domestic,46
2016,Night,3,69,NON-Domestic,8
2024,Afternoon,22,74,NON-Domestic,49
2024,Night,2,41,Domestic,28
2024,Morning,4,47,Domestic,9
2024,Afternoon,22,75,Domestic,48
2024,Night,6,49,Domestic,22
2024,Night,16,12,NON-Domestic,32
2024,Evening,2,36,Domestic,21
2024,Night,8,64,Domestic,24
2024,Evening,22,72,Domestic,15
2024,Evening,24,1,Domestic,80
2024,Morning,19,4,NON-Domestic,44
2024,Morning,10,31,NON-Domestic,66
2019,Night,4,46,Domestic,1
2017,Morning,8,66,NON-Domestic,4
2003,Evening,6,71,NON-Domestic,6
2003,Night,6,44,NON-Domestic,5
2003,Morning,4,45,Domestic,1
2003,Night,2,36,NON-Domestic,1
2007,Evening,2,40,Domestic,2
2011,Afternoon,5,50,NON-Domestic,2
2003,Evening,6,44,NON-Domestic,6
2014,Night,4,47,NON-Domestic,2
2024,Night,4,47,NON-Domestic,17
2024,Afternoon,20,77,Domestic,31
2024,Afternoon,9,34,Domestic,9
2024,Night,17,14,Domestic,25
2024,Afternoon,9,37,Domestic,15
2024,Evening,10,31,Domestic,10
2024,Afternoon,12,31,Domestic,33
2002,Night,4,43,Domestic,1
2024,Afternoon,9,58,Domestic,55
2024,Afternoon,16,15,Domestic,48
2024,Night,25,18,Domestic,7
2024,Morning,25,21,Domestic,9
2011,Night,16,15,NON-Domestic,1
2024,Night,8,65,Domestic,24
2024,Afternoon,11,25,Domestic,13
2024,Morning,2,37,NON-Domestic,7
2015,Afternoon,11,27,NON-Domestic,5
2002,Night,16,15,Domestic,2
2024,Afternoon,17,12,Domestic,3
2024,Afternoon,14,23,NON-Domestic,97
2019,Evening,22,74,NON-Domestic,3
2024,Night,3,40,NON-Domestic,32
2024,Evening,22,74,Domestic,13
2014,Night,25,23,Domestic,2
2015,Morning,6,71,Domestic,1
2024,Night,16,10,Domestic,16
2024,Afternoon,4,69,NON-Domestic,1
2024,Night,1,35,NON-Domestic,40
2018,Morning,20,4,NON-Domestic,1
2024,Evening,4,45,Domestic,37
2024,Afternoon,22,72,Domestic,23
2024,Morning,11,28,NON-Domestic,21
2024,Afternoon,4,52,Domestic,32
2018,Morning,12,28,NON-Domestic,5
2024,Evening,6,49,Domestic,22
2024,Evening,9,34,Domestic,14
2024,Night,17,13,NON-Domestic,48
2014,Afternoon,2,68,NON-Domestic,1
2024,Morning,4,45,Domestic,16
2024,Afternoon,25,25,Domestic,51
2024,Morning,10,31,Domestic,7
2016,Night,11,29,NON-Domestic,2
2024,Night,10,31,NON-Domestic,47
2024,Evening,16,15,Domestic,68
2016,Afternoon,25,19,Domestic,1
2024,Afternoon,22,72,NON-Domestic,105
2020,Morning,10,30,NON-Domestic,13
2024,Morning,8,70,Domestic,45
2024,Night,8,70,Domestic,29
2024,Night,4,51,Domestic,32
2013,Night,24,1,NON-Domestic,3
2017,Night,9,58,NON-Domestic,7
2021,Evening,7,68,Domestic,2
2024,Evening,8,65,Domestic,37
2024,Night,24,2,Domestic,34
2024,Morning,4,51,Domestic,40
2024,Afternoon,8,58,Domestic,8
2024,Afternoon,10,28,NON-Domestic,4
2024,Morning,3,40,Domestic,21
2024,Evening,8,64,Domestic,30
2024,Afternoon,8,62,Domestic,21
2024,Morning,17,15,NON-Domestic,29
2024,Evening,14,23,Domestic,12
2024,Evening,16,10,Domestic,23
2024,Morning,9,63,Domestic,12
2024,Evening,16,17,Domestic,33
2014,Morning,7,68,NON-Domestic,3
2021,Morning,5,53,Domestic,2
2008,Afternoon,6,69,NON-Domestic,2
2008,Afternoon,6,71,NON-Domestic,5
2024,Afternoon,16,9,NON-Domestic,25
2024,Evening,25,21,NON-Domestic,37
2024,Night,2,68,NON-Domestic,8
2024,Evening,3,69,Domestic,73
2024,Morning,17,14,Domestic,27
2024,Night,25,17,NON-Domestic,4
2016,Morning,5,49,NON-Domestic,4
2024,Evening,25,17,NON-Domestic,4
2024,Afternoon,4,48,Domestic,32
2024,Morning,8,58,NON-Domestic,22
2024,Night,9,34,Domestic,18
2024,Evening,22,74,NON-Domestic,34
2024,Morning,6,49,NON-Domestic,51
2024,Night,22,72,NON-Domestic,56
2018,Evening,4,45,NON-Domestic,2
2008,Evening,5,49,Domestic,2
2008,Evening,5,50,NON-Domestic,1
2013,Afternoon,22,73,NON-Domestic,3
2014,Night,4,45,NON-Domestic,2
2024,Afternoon,19,4,Domestic,8
2024,Morning,22,71,NON-Domestic,45
2024,Morning,17,16,Domestic,29
2024,Afternoon,14,21,Domestic,14
2024,Evening,9,37,Domestic,16
2024,Night,25,23,Domestic,21
2013,Night,12,24,Domestic,2
2024,Afternoon,8,65,Domestic,36
2024,Night,19,3,Domestic,32
2024,Evening,16,9,Domestic,8
2018,Afternoon,18,8,NON-Domestic,6
2024,Evening,22,49,Domestic,12
2024,Afternoon,3,41,NON-Domestic,26
2024,Afternoon,20,2,Domestic,2
2019,Afternoon,22,74,NON-Domestic,2
2019,Night,25,25,NON-Domestic,5
2018,Evening,6,69,NON-Domestic,3
2019,Evening,7,67,NON-Domestic,13
2020,Afternoon,22,75,NON-Domestic,5
2008,Night,5,49,Domestic,3
2008,Evening,5,49,NON-Domestic,8
2011,Afternoon,2,41,NON-Domestic,1
2018,Night,22,67,Domestic,1
2024,Morning,2,35,Domestic,23
2024,Night,17,21,NON-Domestic,33
2024,Evening,17,15,NON-Domestic,51
2018,Morning,2,35,NON-Domestic,1
2024,Afternoon,9,37,NON-Domestic,51
2013,Night,8,57,Domestic,1
2015,Night,7,68,Domestic,1
2019,Evening,24,2,NON-Domestic,3
2024,Morning,22,74,Domestic,11
2024,Morning,22,49,Domestic,18
2018,Night,6,71,NON-Domestic,3
2021,Morning,5,54,NON-Domestic,2
2008,Evening,5,53,NON-Domestic,6
2008,Evening,16,11,NON-Domestic,1
2024,Afternoon,3,68,NON-Domestic,10
2024,Afternoon,17,15,Domestic,5
2024,Evening,2,41,Domestic,28
2024,Night,9,59,Domestic,13
2011,Night,9,60,NON-Domestic,3
2024,Afternoon,10,31,Domestic,11
2024,Morning,9,59,Domestic,7
2024,Morning,17,12,NON-Domestic,12
2024,Morning,1,35,Domestic,11
2024,Morning,11,25,Domestic,13
2022,Night,2,42,NON-Domestic,1
2007,Night,4,43,NON-Domestic,2
2024,Morning,8,63,Domestic,17
2024,Morning,17,21,Domestic,8
2024,Afternoon,20,4,Domestic,7
2021,Afternoon,11,28,NON-Domestic,1
2024,Morning,12,23,NON-Domestic,20
2020,Morning,6,44,NON-Domestic,3
2005,Night,25,21,Domestic,1
2024,Night,8,62,Domestic,17
2024,Morning,3,40,NON-Domestic,34
2024,Evening,9,59,Domestic,21
2012,Morning,2,41,NON-Domestic,1
2024,Morning,5,51,NON-Domestic,10
2024,Afternoon,22,71,Domestic,18
2020,Morning,25,19,NON-Domestic,4
2017,Afternoon,6,71,NON-Domestic,12
2024,Evening,25,21,Domestic,20
2024,Night,19,6,Domestic,35
2024,Afternoon,1,35,Domestic,15
2013,Night,11,27,NON-Domestic,6
2020,Afternoon,22,74,NON-Domestic,2
2024,Afternoon,19,7,Domestic,8
2021,Morning,20,3,NON-Domestic,2
2024,Afternoon,25,17,Domestic,2
2002,Night,8,66,Domestic,1
2018,Evening,1,33,NON-Domestic,1
2017,Evening,4,46,NON-Domestic,7
2008,Afternoon,25,19,NON-Domestic,2
2011,Night,20,3,NON-Domestic,1
2014,Evening,4,46,NON-Domestic,6
2021,Evening,2,41,Domestic,2
2024,Morning,2,36,Domestic,15
2024,Night,16,12,Domestic,5
2024,Morning,11,29,Domestic,27
2018,Night,3,43,NON-Domestic,5
2024,Morning,4,47,NON-Domestic,22
2024,Evening,12,31,Domestic,53
2024,Night,5,50,Domestic,18
2024,Night,20,2,Domestic,8
2024,Night,2,42,NON-Domestic,2
2024,Night,1,28,Domestic,10
2005,Evening,7,68,Domestic,2
2024,Evening,25,18,Domestic,15
2018,Morning,5,49,NON-Domestic,9
2017,Afternoon,22,73,NON-Domestic,6
2019,Night,6,44,NON-Domestic,7
2020,Night,18,8,NON-Domestic,9
2009,Morning,22,75,NON-Domestic,1
2012,Night,5,49,NON-Domestic,4
2015,Evening,3,69,NON-Domestic,6
2024,Night,1,33,Domestic,31
2018,Morning,11,29,NON-Domestic,3
2024,Morning,25,22,Domestic,20
2024,Morning,9,34,Domestic,12
2016,Morning,16,11,Domestic,1
2024,Night,20,3,Domestic,12
2024,Evening,7,69,Domestic,33
2021,Evening,8,57,Domestic,1
2017,Night,22,75,NON-Domestic,1
2017,Evening,22,73,NON-Domestic,7
2017,Night,18,8,Domestic,1
2019,Afternoon,22,75,NON-Domestic,3
2022,Afternoon,9,37,Domestic,1
2007,Evening,22,75,NON-Domestic,2
2008,Afternoon,5,49,NON-Domestic,6
2008,Night,5,49,NON-Domestic,6
2008,Afternoon,5,49,Domestic,4
2008,Evening,5,54,NON-Domestic,3
2024,Morning,20,2,Domestic,4
2024,Evening,6,67,NON-Domestic,2
2015,Night,3,43,Domestic,2
2024,Morning,8,56,Domestic,14
2024,Evening,20,3,Domestic,22
2024,Night,3,68,NON-Domestic,8
2024,Afternoon,2,68,NON-Domestic,3
2024,Afternoon,16,11,Domestic,12
2020,Night,8,63,Domestic,1
2012,Evening,5,54,NON-Domestic,3
2019,Night,20,77,NON-Domestic,1
2024,Afternoon,20,3,Domestic,14
2015,Night,16,15,NON-Domestic,3
2016,Night,19,5,NON-Domestic,1
2008,Night,5,54,NON-Domestic,4
2009,Morning,5,53,NON-Domestic,2
2010,Morning,3,42,NON-Domestic,3
2021,Night,11,23,Domestic,1
2018,Afternoon,2,40,NON-Domestic,4
2024,Morning,9,37,NON-Domestic,37
2024,Evening,31,76,NON-Domestic,2
2011,Night,11,29,Domestic,1
