Year,Month,TimeOfDay,District,Community_Area,CrimeCount
2001,2,Afternoon,11,29,29
2001,2,Afternoon,12,-1,306
2001,2,Afternoon,12,23,4
2001,2,Afternoon,12,24,70
2001,2,Afternoon,12,27,11
2001,2,Afternoon,12,27.77777777777778,1
2001,2,Afternoon,12,28,112
2001,2,Afternoon,12,31,44
2001,2,Afternoon,14,-1,410
2001,2,Afternoon,14,21,6
2001,2,Afternoon,14,22,39
2001,2,Afternoon,14,23,10
2001,2,Afternoon,14,23.666666666666668,1
2001,2,Afternoon,14,24,38
2001,2,Afternoon,15,-1,294
2001,2,Afternoon,15,25,179
2001,2,Afternoon,16,-1,259
2001,2,Afternoon,16,9,1
2001,2,Afternoon,16,10,2
2001,2,Afternoon,16,11,1
2001,2,Afternoon,16,12,1
2001,2,Afternoon,16,12.6,1
2001,2,Afternoon,16,14,2
2001,2,Afternoon,16,15,26
2001,2,Afternoon,16,15.666666666666666,1
2001,2,Afternoon,16,17,16
2001,2,Afternoon,16,76,41
2001,2,Afternoon,17,-1,252
2001,2,Afternoon,17,13,3
2001,2,Afternoon,17,14,12
2001,2,Afternoon,17,15,15
2001,2,Afternoon,17,16,47
2001,2,Afternoon,17,17.176470588235293,5
2001,2,Afternoon,17,18.5,1
2001,2,Afternoon,17,20,1
2001,2,Afternoon,17,20.33333333333333,2
2001,2,Afternoon,17,20.615384615384617,1
2001,2,Afternoon,17,20.73684210526316,1
2001,2,Afternoon,17,20.904761904761905,5
2001,2,Afternoon,17,21,2
2001,2,Afternoon,18,-1,187
2001,2,Afternoon,18,7,29
2001,2,Afternoon,18,8,278
2001,2,Afternoon,18,9.846153846153848,9
2001,2,Afternoon,19,-1,320
2001,2,Afternoon,19,3,68
2001,2,Afternoon,19,4,1
2001,2,Afternoon,19,4.2,1
2001,2,Afternoon,19,4.469387755102041,4
2001,2,Afternoon,19,4.5,1
2001,2,Afternoon,19,5,27
2001,2,Afternoon,19,6,79
2001,2,Afternoon,19,7,15
2001,2,Afternoon,20,-1,112
2001,2,Afternoon,20,2,1
2001,2,Afternoon,20,3,40
2001,2,Afternoon,20,4,5
2001,2,Afternoon,20,77,26
2001,2,Afternoon,22,-1,220
2001,2,Afternoon,22,49,8
2001,2,Afternoon,22,60.55555555555556,1
2001,2,Afternoon,22,60.81818181818182,1
2001,2,Afternoon,22,62,1
2001,2,Afternoon,22,62.6,2
2001,2,Afternoon,22,71,14
2001,2,Afternoon,22,72,8
2001,2,Afternoon,22,73,57
2001,2,Afternoon,22,74,6
2001,2,Afternoon,22,75,10
2001,2,Afternoon,24,-1,250
2001,2,Afternoon,24,1,36
2001,2,Afternoon,24,2,10
2001,2,Afternoon,24,77,11
2001,2,Afternoon,25,-1,545
2001,2,Afternoon,25,18,2
2001,2,Afternoon,25,19,19
2001,2,Afternoon,25,20,6
2001,2,Afternoon,25,21,3
2001,2,Afternoon,25,22,5
2001,2,Afternoon,25,23,15
2001,2,Afternoon,25,25,17
2001,2,Evening,1,-1,71
2001,2,Evening,1,28,33
2001,2,Evening,1,31,1
2001,2,Evening,1,32,115
2001,2,Evening,1,32.333333333333336,1
2001,2,Evening,1,33,3
2001,2,Evening,2,-1,493
2001,2,Evening,2,33,40
2001,2,Evening,2,33.977777777777774,4
2001,2,Evening,2,34,7
2001,2,Evening,2,35,114
2001,2,Evening,2,36.5,1
2001,2,Evening,2,36.66666666666666,1
2001,2,Evening,2,36.75,3
2001,2,Evening,2,37,1
2001,2,Evening,2,37.59090909090909,3
2001,2,Evening,2,38,72
2001,2,Evening,2,40,5
2001,2,Evening,2,41,1
2001,2,Evening,3,-1,555
2001,2,Evening,3,42,12
2001,2,Evening,3,43,15
2001,2,Evening,3,69,11
2001,2,Evening,4,-1,478
2001,2,Evening,4,43,8
2001,2,Evening,4,43.5,7
2001,2,Evening,4,43.93103448275862,1
2001,2,Evening,4,46,5
2001,2,Evening,4,52,37
2001,2,Evening,5,-1,415
2001,2,Evening,5,49,15
2001,2,Evening,5,53,47
2001,2,Evening,5,54,2
2001,2,Evening,6,-1,454
2001,2,Evening,6,44,6
2001,2,Evening,6,49,2
2001,2,Evening,6,69,1
2001,2,Evening,6,69.875,1
2001,2,Evening,6,71,103
2001,2,Evening,7,-1,365
2001,2,Evening,7,67,85
2001,2,Evening,7,68,110
2001,2,Evening,7,69,1
2001,2,Evening,8,-1,599
2001,2,Evening,8,56,3
2001,2,Evening,8,57,6
2001,2,Evening,8,58,1
2001,2,Evening,8,62,7
2001,2,Evening,8,63,10
2001,2,Evening,8,64,1
2001,2,Evening,8,65,10
2001,2,Evening,8,66,41
2001,2,Evening,8,66.875,1
2001,2,Evening,8,70,7
2001,2,Evening,9,-1,409
2001,2,Evening,9,34,1
2001,2,Evening,9,35,2
2001,2,Evening,9,35.5,3
2001,2,Evening,9,36.5,2
2001,2,Evening,9,37,2
2001,2,Evening,9,58,17
