Year,Month,TimeOfDay,District,Community_Area,CrimeCount,Arrests
2001,1,Evening,9,60.46666666666667,2,1
2001,1,Evening,9,60.90476190476191,9,9
2001,1,Evening,9,61,84,30
2001,1,Evening,9,63,8,2
2001,1,Evening,9,64,6,2
2001,1,Evening,10,-1,476,182
2001,1,Evening,10,28,1,0
2001,1,Evening,10,29,25,10
2001,1,Evening,10,29.307692307692307,1,0
2001,1,Evening,10,29.33333333333333,1,1
2001,1,Evening,10,29.4,1,1
2001,1,Evening,10,30,25,6
2001,1,Evening,10,31,7,1
2001,1,Evening,11,-1,385,199
2001,1,Evening,11,23,28,17
2001,1,Evening,11,25,20,14
2001,1,Evening,11,26,80,43
2001,1,Evening,11,27,98,60
2001,1,Evening,11,28,27,15
2001,1,Evening,11,28.849056603773583,1,0
2001,1,Evening,11,29,40,20
2001,1,Evening,12,-1,322,158
2001,1,Evening,12,23,2,1
2001,1,Evening,12,24,93,27
2001,1,Evening,12,27,45,41
2001,1,Evening,12,28,180,89
2001,1,Evening,12,31,39,12
2001,1,Evening,14,-1,471,133
2001,1,Evening,14,21,8,3
2001,1,Evening,14,22,33,5
2001,1,Evening,14,23,8,2
2001,1,Evening,14,24,38,10
2001,1,Evening,15,-1,363,185
2001,1,Evening,15,25,212,120
2001,1,Evening,16,-1,285,61
2001,1,Evening,16,10,1,0
2001,1,Evening,16,11,6,1
2001,1,Evening,16,12,3,0
2001,1,Evening,16,13,1,0
2001,1,Evening,16,15,61,16
2001,1,Evening,16,17,28,5
2001,1,Evening,16,76,43,18
2001,1,Evening,17,-1,292,85
2001,1,Evening,17,13,10,0
2001,1,Evening,17,13.675,2,1
2001,1,Evening,17,14,21,8
2001,1,Evening,17,15,12,6
2001,1,Evening,17,16,46,9
2001,1,Evening,17,17.176470588235293,3,3
2001,1,Evening,17,17.923076923076923,1,0
2001,1,Evening,17,19.75,1,0
2001,1,Evening,17,20.33333333333333,5,5
2001,1,Evening,17,20.615384615384617,2,2
2001,1,Evening,17,20.73684210526316,1,0
2001,1,Evening,17,20.904761904761905,1,0
2001,1,Evening,17,21,8,1
2001,1,Evening,18,-1,183,56
2001,1,Evening,18,7,34,5
2001,1,Evening,18,8,313,130
2001,1,Evening,19,-1,349,111
2001,1,Evening,19,3,54,20
2001,1,Evening,19,4,3,0
2001,1,Evening,19,5,30,8
2001,1,Evening,19,5.333333333333333,1,0
2001,1,Evening,19,5.833333333333333,1,0
2001,1,Evening,19,6,95,22
2001,1,Evening,19,7,31,7
2001,1,Evening,20,-1,198,85
2001,1,Evening,20,2,2,0
2001,1,Evening,20,3,43,21
2001,1,Evening,20,4,13,1
2001,1,Evening,20,77,31,10
2001,1,Evening,22,-1,224,74
2001,1,Evening,22,49,1,0
2001,1,Evening,22,53,1,1
2001,1,Evening,22,59.70588235294117,3,0
2001,1,Evening,22,60.55555555555556,2,2
2001,1,Evening,22,60.81818181818182,1,0
2001,1,Evening,22,62,1,0
2001,1,Evening,22,62.6,3,2
2001,1,Evening,22,63.44444444444444,1,0
2001,1,Evening,22,71,16,5
2001,1,Evening,22,72,5,1
2001,1,Evening,22,73,49,19
2001,1,Evening,22,75,22,9
2001,1,Evening,24,-1,348,87
2001,1,Evening,24,1,64,43
2001,1,Evening,24,2,18,4
2001,1,Evening,24,77,21,6
2001,1,Evening,25,-1,690,220
2001,1,Evening,25,19,20,3
2001,1,Evening,25,20,17,5
2001,1,Evening,25,21,12,1
